
Name : vcb5ghg giao dịch với hahahakky || Time : 2022-08-10 00:24:43 || Item chuyển : [ 454 Số lượng : 20;  454 Số lượng : 5; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :1250000000

Name : hahahakky giao dịch với hahaburh || Time : 2022-08-10 00:25:10 || Item chuyển : [454 Số lượng : 25;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : hahaburh giao dịch với hahahakky || Time : 2022-08-10 00:25:10 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[454 Số lượng : 25;] Xu nhận :0

Name : thichduthu giao dịch với emcute || Time : 2022-08-10 00:35:40 || Item chuyển : [642 Số lượng : 5095;641 Số lượng : 5240;639 Số lượng : 4085;987 Số lượng : 3881;603 Số lượng : 60;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : emcute giao dịch với thichduthu || Time : 2022-08-10 00:35:40 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[642 Số lượng : 5095;641 Số lượng : 5240;639 Số lượng : 4085;987 Số lượng : 3881;603 Số lượng : 60;] Xu nhận :0

Name : emcute giao dịch với thichduthu || Time : 2022-08-10 00:37:30 || Item chuyển : [954 Số lượng : 10600;962 Số lượng : 80;958 Số lượng : 539;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : thichduthu giao dịch với emcute || Time : 2022-08-10 00:37:30 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[954 Số lượng : 10600;962 Số lượng : 80;958 Số lượng : 539;] Xu nhận :0

Name : lucmyhau giao dịch với bachtieuthuan || Time : 2022-08-10 00:37:36 || Item chuyển : [436 Số lượng : 478;437 Số lượng : 231;735 Số lượng : 124;438 Số lượng : 109;639 Số lượng : 2052;642 Số lượng : 2053;987 Số lượng : 1997;38 Số lượng : 1250;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : bachtieuthuan giao dịch với lucmyhau || Time : 2022-08-10 00:37:36 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[436 Số lượng : 478;437 Số lượng : 231;735 Số lượng : 124;438 Số lượng : 109;639 Số lượng : 2052;642 Số lượng : 2053;987 Số lượng : 1997;38 Số lượng : 1250;] Xu nhận :0

Name : datang giao dịch với bachtieuthuan || Time : 2022-08-10 00:38:15 || Item chuyển : [987 Số lượng : 2861;639 Số lượng : 2877;38 Số lượng : 1711;642 Số lượng : 2812;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : bachtieuthuan giao dịch với datang || Time : 2022-08-10 00:38:15 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[987 Số lượng : 2861;639 Số lượng : 2877;38 Số lượng : 1711;642 Số lượng : 2812;] Xu nhận :0

Name : daimyhau giao dịch với bachtieuthuan || Time : 2022-08-10 00:39:10 || Item chuyển : [642 Số lượng : 2542;38 Số lượng : 1527;639 Số lượng : 2502;987 Số lượng : 2528;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : bachtieuthuan giao dịch với daimyhau || Time : 2022-08-10 00:39:10 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[642 Số lượng : 2542;38 Số lượng : 1527;639 Số lượng : 2502;987 Số lượng : 2528;] Xu nhận :0

Name : overdie giao dịch với bachtieuthuan || Time : 2022-08-10 00:40:18 || Item chuyển : [38 Số lượng : 1659;987 Số lượng : 2788;642 Số lượng : 2737;639 Số lượng : 2714;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : bachtieuthuan giao dịch với overdie || Time : 2022-08-10 00:40:18 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[38 Số lượng : 1659;987 Số lượng : 2788;642 Số lượng : 2737;639 Số lượng : 2714;] Xu nhận :0

Name : shimitsu giao dịch với yuukino || Time : 2022-08-10 00:54:47 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 454 Số lượng : 137;  987 Số lượng : 3909;  642 Số lượng : 980;  641 Số lượng : 931;  638 Số lượng : 953;  639 Số lượng : 3852; ] Xu nhận :0

Name : yuukino giao dịch với shimitsu || Time : 2022-08-10 00:54:47 || Item chuyển : [ 454 Số lượng : 137;  987 Số lượng : 3909;  642 Số lượng : 980;  641 Số lượng : 931;  638 Số lượng : 953;  639 Số lượng : 3852; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : kurumi giao dịch với yoshinon || Time : 2022-08-10 01:00:01 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 456 Số lượng : 30; ] Xu nhận :0

Name : yoshinon giao dịch với kurumi || Time : 2022-08-10 01:00:01 || Item chuyển : [ 456 Số lượng : 30; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : yoshinon giao dịch với hololo || Time : 2022-08-10 01:08:55 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :500650000

Name : hololo giao dịch với yoshinon || Time : 2022-08-10 01:08:55 || Item chuyển : [] Xu giao dịch :500650000 || Item Nhận :[] Xu nhận :0

Name : kirito giao dịch với emcute || Time : 2022-08-10 01:09:04 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 1003 Số lượng : 2002; ] Xu nhận :0

Name : emcute giao dịch với kirito || Time : 2022-08-10 01:09:04 || Item chuyển : [ 1003 Số lượng : 2002; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : holola giao dịch với yoshinon || Time : 2022-08-10 01:17:03 || Item chuyển : [646 Số lượng : 10000;646 Số lượng : 2000;] Xu giao dịch :500650000 || Item Nhận :[ 641 Số lượng : 1686;  638 Số lượng : 1580;  639 Số lượng : 1426;  642 Số lượng : 2083; ] Xu nhận :5000000

Name : yoshinon giao dịch với holola || Time : 2022-08-10 01:17:03 || Item chuyển : [ 641 Số lượng : 1686;  638 Số lượng : 1580;  639 Số lượng : 1426;  642 Số lượng : 2083; ] Xu giao dịch :5000000 || Item Nhận :[646 Số lượng : 10000;646 Số lượng : 2000;] Xu nhận :500650000

Name : yoshinon giao dịch với holola || Time : 2022-08-10 01:18:38 || Item chuyển : [] Xu giao dịch :10000000 || Item Nhận :[] Xu nhận :0

Name : holola giao dịch với yoshinon || Time : 2022-08-10 01:18:38 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :10000000

Name : yoshinon giao dịch với holola || Time : 2022-08-10 01:19:27 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 643 Số lượng : 250; ] Xu nhận :0

Name : holola giao dịch với yoshinon || Time : 2022-08-10 01:19:27 || Item chuyển : [ 643 Số lượng : 250; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : 1mk1quat giao dịch với hs1kiem || Time : 2022-08-10 01:19:46 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 998 Số lượng : 266;  1001 Số lượng : 261;  1002 Số lượng : 231;  1000 Số lượng : 250;  997 Số lượng : 233;  996 Số lượng : 233;  999 Số lượng : 242;  603 Số lượng : 79; ] Xu nhận :0

Name : hs1kiem giao dịch với 1mk1quat || Time : 2022-08-10 01:19:46 || Item chuyển : [ 998 Số lượng : 266;  1001 Số lượng : 261;  1002 Số lượng : 231;  1000 Số lượng : 250;  997 Số lượng : 233;  996 Số lượng : 233;  999 Số lượng : 242;  603 Số lượng : 79; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : 1mk1quat giao dịch với 1mk1tieu || Time : 2022-08-10 01:21:43 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 996 Số lượng : 191;  1001 Số lượng : 210;  999 Số lượng : 202;  1002 Số lượng : 177;  1000 Số lượng : 178;  998 Số lượng : 172;  997 Số lượng : 177; ] Xu nhận :0

Name : 1mk1tieu giao dịch với 1mk1quat || Time : 2022-08-10 01:21:43 || Item chuyển : [ 996 Số lượng : 191;  1001 Số lượng : 210;  999 Số lượng : 202;  1002 Số lượng : 177;  1000 Số lượng : 178;  998 Số lượng : 172;  997 Số lượng : 177; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : lctumg giao dịch với hfgfdhfgd || Time : 2022-08-10 01:25:28 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lctumg || Time : 2022-08-10 01:25:28 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : emcute giao dịch với thichduthu || Time : 2022-08-10 01:25:42 || Item chuyển : [589 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : thichduthu giao dịch với emcute || Time : 2022-08-10 01:25:42 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[589 Số lượng : 1;] Xu nhận :0

Name : vcb5ghg giao dịch với cavechua || Time : 2022-08-10 01:26:18 || Item chuyển : [958 Số lượng : 234;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : cavechua giao dịch với vcb5ghg || Time : 2022-08-10 01:26:18 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[958 Số lượng : 234;] Xu nhận :0

Name : lctumgh giao dịch với hfgfdhfgd || Time : 2022-08-10 01:26:55 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lctumgh || Time : 2022-08-10 01:26:55 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : cavechua giao dịch với vcb5ghg || Time : 2022-08-10 01:28:17 || Item chuyển : [454 Số lượng : 128;457 Số lượng : 7;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : vcb5ghg giao dịch với cavechua || Time : 2022-08-10 01:28:17 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[454 Số lượng : 128;457 Số lượng : 7;] Xu nhận :0

Name : lctumght giao dịch với hfgfdhfgd || Time : 2022-08-10 01:28:27 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lctumght || Time : 2022-08-10 01:28:27 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcrhgf giao dịch với hfgfdhfgd || Time : 2022-08-10 01:30:04 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcrhgf || Time : 2022-08-10 01:30:04 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcrhgfj giao dịch với hfgfdhfgd || Time : 2022-08-10 01:31:43 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcrhgfj || Time : 2022-08-10 01:31:43 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcrhgfjl giao dịch với hfgfdhfgd || Time : 2022-08-10 01:32:57 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcrhgfjl || Time : 2022-08-10 01:32:57 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcrhgfjlh giao dịch với hfgfdhfgd || Time : 2022-08-10 01:34:14 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcrhgfjlh || Time : 2022-08-10 01:34:14 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcrhgfjlhg giao dịch với hfgfdhfgd || Time : 2022-08-10 01:35:31 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcrhgfjlhg || Time : 2022-08-10 01:35:31 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcrhgfjlhgk giao dịch với hfgfdhfgd || Time : 2022-08-10 01:37:06 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcrhgfjlhgk || Time : 2022-08-10 01:37:06 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssss giao dịch với hfgfdhfgd || Time : 2022-08-10 01:38:31 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssss || Time : 2022-08-10 01:38:31 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssssg giao dịch với hfgfdhfgd || Time : 2022-08-10 01:39:43 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssg || Time : 2022-08-10 01:39:43 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssssgk giao dịch với hfgfdhfgd || Time : 2022-08-10 01:41:18 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssgk || Time : 2022-08-10 01:41:18 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssssgkl giao dịch với hfgfdhfgd || Time : 2022-08-10 01:42:38 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssgkl || Time : 2022-08-10 01:42:38 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : linhka3 giao dịch với vcb5ghg || Time : 2022-08-10 01:44:03 || Item chuyển : [733 Số lượng : 4395;734 Số lượng : 4495;738 Số lượng : 4411;735 Số lượng : 4115;741 Số lượng : 4473;739 Số lượng : 4456;736 Số lượng : 4420;599 Số lượng : 424;740 Số lượng : 4359;737 Số lượng : 4468;457 Số lượng : 1997;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : vcb5ghg giao dịch với linhka3 || Time : 2022-08-10 01:44:03 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[733 Số lượng : 4395;734 Số lượng : 4495;738 Số lượng : 4411;735 Số lượng : 4115;741 Số lượng : 4473;739 Số lượng : 4456;736 Số lượng : 4420;599 Số lượng : 424;740 Số lượng : 4359;737 Số lượng : 4468;457 Số lượng : 1997;] Xu nhận :0

Name : lcssssgkl1 giao dịch với hfgfdhfgd || Time : 2022-08-10 01:48:48 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssgkl1 || Time : 2022-08-10 01:48:48 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : phucxgaiiiii giao dịch với hahahaksjs || Time : 2022-08-10 01:50:54 || Item chuyển : [454 Số lượng : 4;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :200000000

Name : hahahaksjs giao dịch với phucxgaiiiii || Time : 2022-08-10 01:50:54 || Item chuyển : [] Xu giao dịch :200000000 || Item Nhận :[454 Số lượng : 4;] Xu nhận :0

Name : lcssssgkl1j giao dịch với hfgfdhfgd || Time : 2022-08-10 01:51:10 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssgkl1j || Time : 2022-08-10 01:51:10 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : hahahaksjs giao dịch với phucxgaii || Time : 2022-08-10 01:51:23 || Item chuyển : [] Xu giao dịch :400000000 || Item Nhận :[ 454 Số lượng : 8; ] Xu nhận :0

Name : phucxgaii giao dịch với hahahaksjs || Time : 2022-08-10 01:51:23 || Item chuyển : [ 454 Số lượng : 8; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :400000000

Name : phucxgaii giao dịch với phucxgaiiiii || Time : 2022-08-10 01:51:59 || Item chuyển : [] Xu giao dịch :400000000 || Item Nhận :[] Xu nhận :0

Name : phucxgaiiiii giao dịch với phucxgaii || Time : 2022-08-10 01:51:59 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :400000000

Name : hahahaksjs giao dịch với hahaburh || Time : 2022-08-10 01:52:00 || Item chuyển : [454 Số lượng : 12;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : hahaburh giao dịch với hahahaksjs || Time : 2022-08-10 01:52:00 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[454 Số lượng : 12;] Xu nhận :0

Name : kanekiwua giao dịch với doraemon || Time : 2022-08-10 01:54:02 || Item chuyển : [584 Số lượng : 10;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : doraemon giao dịch với kanekiwua || Time : 2022-08-10 01:54:02 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[584 Số lượng : 10;] Xu nhận :0

Name : lcssssgkl1jl giao dịch với hfgfdhfgd || Time : 2022-08-10 01:55:22 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssgkl1jl || Time : 2022-08-10 01:55:22 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssssgkl1jlk giao dịch với hfgfdhfgd || Time : 2022-08-10 01:56:51 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssgkl1jlk || Time : 2022-08-10 01:56:51 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : hahaburh giao dịch với hahalmao || Time : 2022-08-10 01:57:40 || Item chuyển : [454 Số lượng : 112;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : hahalmao giao dịch với hahaburh || Time : 2022-08-10 01:57:40 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[454 Số lượng : 112;] Xu nhận :0

Name : lcssssgkl1jlkj giao dịch với hfgfdhfgd || Time : 2022-08-10 01:58:06 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssssgkl1jlkj || Time : 2022-08-10 01:58:06 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : hfgfdhfgd giao dịch với lcssssgkl1jlkjl || Time : 2022-08-10 01:59:17 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssssgkl1jlkjl giao dịch với hfgfdhfgd || Time : 2022-08-10 01:59:17 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : lcssfg giao dịch với hfgfdhfgd || Time : 2022-08-10 02:00:40 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssfg || Time : 2022-08-10 02:00:40 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : hfgfdhfgd giao dịch với lcssfgk || Time : 2022-08-10 02:03:10 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssfgk giao dịch với hfgfdhfgd || Time : 2022-08-10 02:03:10 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : lcssfgkk giao dịch với hfgfdhfgd || Time : 2022-08-10 02:04:26 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssfgkk || Time : 2022-08-10 02:04:26 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssfgkkl giao dịch với hfgfdhfgd || Time : 2022-08-10 02:05:52 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssfgkkl || Time : 2022-08-10 02:05:52 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : excavator giao dịch với ap0calypse || Time : 2022-08-10 02:05:58 || Item chuyển : [576 Số lượng : 591;577 Số lượng : 591;578 Số lượng : 538;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : ap0calypse giao dịch với excavator || Time : 2022-08-10 02:05:58 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[576 Số lượng : 591;577 Số lượng : 591;578 Số lượng : 538;] Xu nhận :0

Name : kirito giao dịch với emcute || Time : 2022-08-10 02:06:12 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 862 Số lượng : 50; ] Xu nhận :0

Name : emcute giao dịch với kirito || Time : 2022-08-10 02:06:12 || Item chuyển : [ 862 Số lượng : 50; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : lcssfgkklk giao dịch với hfgfdhfgd || Time : 2022-08-10 02:07:15 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

Name : hfgfdhfgd giao dịch với lcssfgkklk || Time : 2022-08-10 02:07:15 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[] Xu nhận :80000000

Name : lcssfgkklkjk giao dịch với hfgfdhfgd || Time : 2022-08-10 02:08:29 || Item chuyển : [] Xu giao dịch :80000000 || Item Nhận :[] Xu nhận :0

