
 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 245 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 244 và 1|| Thời gian tách : 2022-05-19 00:39:34

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 244 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 243 và 1|| Thời gian tách : 2022-05-19 00:39:36

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 243 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 242 và 1|| Thời gian tách : 2022-05-19 00:39:44

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 242 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 241 và 1|| Thời gian tách : 2022-05-19 00:39:49

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 241 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 240 và 1|| Thời gian tách : 2022-05-19 00:39:51

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 240 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 239 và 1|| Thời gian tách : 2022-05-19 00:39:55

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 239 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 238 và 1|| Thời gian tách : 2022-05-19 00:39:57

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 238 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 237 và 1|| Thời gian tách : 2022-05-19 00:39:59

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 237 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 236 và 1|| Thời gian tách : 2022-05-19 00:40:02

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 236 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 235 và 1|| Thời gian tách : 2022-05-19 00:40:03

