
 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3205 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 2705 và 500|| Thời gian tách : 2022-06-02 00:24:16
 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 576 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 574 và 2|| Thời gian tách : 2022-06-02 18:07:48

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 574 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 572 và 2|| Thời gian tách : 2022-06-02 18:07:52

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 572 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 570 và 2|| Thời gian tách : 2022-06-02 18:07:55

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 570 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 568 và 2|| Thời gian tách : 2022-06-02 18:07:59

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 568 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 566 và 2|| Thời gian tách : 2022-06-02 18:08:06

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 566 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 564 và 2|| Thời gian tách : 2022-06-02 18:08:09

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 564 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 562 và 2|| Thời gian tách : 2022-06-02 18:08:13

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 562 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 560 và 2|| Thời gian tách : 2022-06-02 18:08:17

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 560 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 558 và 2|| Thời gian tách : 2022-06-02 18:08:20

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 558 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 556 và 2|| Thời gian tách : 2022-06-02 18:08:24

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 556 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 555 và 1|| Thời gian tách : 2022-06-02 18:08:28

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 555 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 553 và 2|| Thời gian tách : 2022-06-02 18:08:31

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 553 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 551 và 2|| Thời gian tách : 2022-06-02 18:08:34

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 551 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 549 và 2|| Thời gian tách : 2022-06-02 18:08:38

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 549 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 547 và 2|| Thời gian tách : 2022-06-02 18:08:42

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 547 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 545 và 2|| Thời gian tách : 2022-06-02 18:08:45

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 545 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 543 và 2|| Thời gian tách : 2022-06-02 18:08:49

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 543 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 541 và 2|| Thời gian tách : 2022-06-02 18:08:52

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2087 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2037 và 50|| Thời gian tách : 2022-06-02 18:10:28

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2037 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1987 và 50|| Thời gian tách : 2022-06-02 18:10:32

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1987 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1937 và 50|| Thời gian tách : 2022-06-02 18:10:36

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1937 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1887 và 50|| Thời gian tách : 2022-06-02 18:10:40

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1887 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1837 và 50|| Thời gian tách : 2022-06-02 18:10:44

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1837 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1787 và 50|| Thời gian tách : 2022-06-02 18:10:49

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1787 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1737 và 50|| Thời gian tách : 2022-06-02 18:10:53

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1737 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1687 và 50|| Thời gian tách : 2022-06-02 18:10:57

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1687 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1637 và 50|| Thời gian tách : 2022-06-02 18:11:02

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 585 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 18:11:19

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-02 18:14:51

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1651 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1551 và 100|| Thời gian tách : 2022-06-02 18:18:03

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1551 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1451 và 100|| Thời gian tách : 2022-06-02 18:18:08

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1451 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1351 và 100|| Thời gian tách : 2022-06-02 18:18:12

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1351 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1251 và 100|| Thời gian tách : 2022-06-02 18:18:17

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1251 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1151 và 100|| Thời gian tách : 2022-06-02 18:18:22

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1151 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1051 và 100|| Thời gian tách : 2022-06-02 18:18:26

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1051 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 951 và 100|| Thời gian tách : 2022-06-02 18:18:32

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 951 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 851 và 100|| Thời gian tách : 2022-06-02 18:18:37

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 851 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 751 và 100|| Thời gian tách : 2022-06-02 18:18:41

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-02 18:18:52

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1444 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1344 và 100|| Thời gian tách : 2022-06-02 18:23:05

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1344 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1244 và 100|| Thời gian tách : 2022-06-02 18:23:10

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1244 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1144 và 100|| Thời gian tách : 2022-06-02 18:23:15

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1144 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1044 và 100|| Thời gian tách : 2022-06-02 18:23:20

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1044 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 944 và 100|| Thời gian tách : 2022-06-02 18:23:24

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 944 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 844 và 100|| Thời gian tách : 2022-06-02 18:23:29

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 844 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 744 và 100|| Thời gian tách : 2022-06-02 18:23:34

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 744 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 644 và 100|| Thời gian tách : 2022-06-02 18:23:39

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 644 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 544 và 100|| Thời gian tách : 2022-06-02 18:23:44

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-02 18:23:53

 Name : trumdonate đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-02 18:24:19

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1225 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1125 và 100|| Thời gian tách : 2022-06-02 18:27:02

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1125 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1025 và 100|| Thời gian tách : 2022-06-02 18:27:06

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1025 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 925 và 100|| Thời gian tách : 2022-06-02 18:27:11

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 925 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 825 và 100|| Thời gian tách : 2022-06-02 18:27:15

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 825 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 725 và 100|| Thời gian tách : 2022-06-02 18:27:20

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 725 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 625 và 100|| Thời gian tách : 2022-06-02 18:27:24

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 625 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 525 và 100|| Thời gian tách : 2022-06-02 18:27:29

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 525 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 425 và 100|| Thời gian tách : 2022-06-02 18:27:34

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 425 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 325 và 100|| Thời gian tách : 2022-06-02 18:27:38

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-02 18:27:44

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1404 || Số lượng tách: 840 || Số lượng vật phẩm sau khi tách: 564 và 840|| Thời gian tách : 2022-06-02 18:38:34

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 227 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 127 và 100|| Thời gian tách : 2022-06-02 18:57:17

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10689 || Số lượng tách: 700 || Số lượng vật phẩm sau khi tách: 9989 và 700|| Thời gian tách : 2022-06-02 18:57:37

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9994 || Số lượng tách: 903 || Số lượng vật phẩm sau khi tách: 9091 và 903|| Thời gian tách : 2022-06-02 18:59:35

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 903 || Số lượng tách: 890 || Số lượng vật phẩm sau khi tách: 13 và 890|| Thời gian tách : 2022-06-02 19:00:00

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 387 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 347 và 40|| Thời gian tách : 2022-06-02 19:00:45

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 347 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 307 và 40|| Thời gian tách : 2022-06-02 19:00:49

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 307 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 267 và 40|| Thời gian tách : 2022-06-02 19:00:53

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 267 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 227 và 40|| Thời gian tách : 2022-06-02 19:00:59

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 227 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 187 và 40|| Thời gian tách : 2022-06-02 19:01:04

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 187 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 147 và 40|| Thời gian tách : 2022-06-02 19:01:09

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 147 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 107 và 40|| Thời gian tách : 2022-06-02 19:01:13

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 107 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 67 và 40|| Thời gian tách : 2022-06-02 19:01:18

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 67 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 27 và 40|| Thời gian tách : 2022-06-02 19:01:23

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2757 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2747 và 10|| Thời gian tách : 2022-06-02 19:04:52

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2747 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2737 và 10|| Thời gian tách : 2022-06-02 19:04:57

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2737 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2727 và 10|| Thời gian tách : 2022-06-02 19:05:02

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2717 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2707 và 10|| Thời gian tách : 2022-06-02 19:06:41

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2707 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2697 và 10|| Thời gian tách : 2022-06-02 19:06:45

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2697 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2687 và 10|| Thời gian tách : 2022-06-02 19:06:49

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2687 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2677 và 10|| Thời gian tách : 2022-06-02 19:07:01

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2669 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2667 và 2|| Thời gian tách : 2022-06-02 19:07:53

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 22 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 12 và 10|| Thời gian tách : 2022-06-02 19:08:56

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6451 || Số lượng tách: 1234 || Số lượng vật phẩm sau khi tách: 5217 và 1234|| Thời gian tách : 2022-06-02 19:10:12

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 12 và 3|| Thời gian tách : 2022-06-02 19:10:36

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-02 19:11:15

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 4 và 5|| Thời gian tách : 2022-06-02 19:11:22

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 3 và 5|| Thời gian tách : 2022-06-02 19:11:37

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 4 và 3|| Thời gian tách : 2022-06-02 19:11:51

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 19:12:09

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 19:12:13

 Name : kakaka đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 195 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 95 và 100|| Thời gian tách : 2022-06-02 19:27:57

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9292 || Số lượng tách: 9000 || Số lượng vật phẩm sau khi tách: 292 và 9000|| Thời gian tách : 2022-06-02 19:41:50

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9000 || Số lượng tách: 4000 || Số lượng vật phẩm sau khi tách: 5000 và 4000|| Thời gian tách : 2022-06-02 19:42:47

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 21 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 19 và 2|| Thời gian tách : 2022-06-02 20:09:24

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 598 || Số lượng vật phẩm ban đầu 4050 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 2050 và 2000|| Thời gian tách : 2022-06-02 20:14:37

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 17 và 2|| Thời gian tách : 2022-06-02 20:35:54

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 289 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 279 và 10|| Thời gian tách : 2022-06-02 20:43:07

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 14 và 3|| Thời gian tách : 2022-06-02 20:43:49

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 626 || Số lượng tách: 357 || Số lượng vật phẩm sau khi tách: 269 và 357|| Thời gian tách : 2022-06-02 20:45:23

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 9 và 5|| Thời gian tách : 2022-06-02 20:55:53

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 4 và 5|| Thời gian tách : 2022-06-02 20:55:54

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 316 || Số lượng tách: 116 || Số lượng vật phẩm sau khi tách: 200 và 116|| Thời gian tách : 2022-06-02 21:37:08

 Name : tapions đã tách vật phẩm || Vật phẩm tách: 16 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-06-02 22:07:41

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-06-02 22:09:04

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-06-02 22:13:52
