
 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 6158 || Số lượng tách: 2340 || Số lượng vật phẩm sau khi tách: 3818 và 2340|| Thời gian tách : 2022-03-29 11:03:46

 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 6223 || Số lượng tách: 2462 || Số lượng vật phẩm sau khi tách: 3761 và 2462|| Thời gian tách : 2022-03-29 11:03:56

 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 5741 || Số lượng tách: 2560 || Số lượng vật phẩm sau khi tách: 3181 và 2560|| Thời gian tách : 2022-03-29 11:04:02

 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 6158 || Số lượng tách: 2340 || Số lượng vật phẩm sau khi tách: 3818 và 2340|| Thời gian tách : 2022-03-29 11:04:26

 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 6223 || Số lượng tách: 2560 || Số lượng vật phẩm sau khi tách: 3663 và 2560|| Thời gian tách : 2022-03-29 11:04:32

 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 5741 || Số lượng tách: 2240 || Số lượng vật phẩm sau khi tách: 3501 và 2240|| Thời gian tách : 2022-03-29 11:04:38

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-03-29 11:32:24

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-29 11:32:26

 Name : huybaby đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9500 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9400 và 100|| Thời gian tách : 2022-03-29 11:47:04

