
 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 55 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 54 và 1|| Thời gian tách : 2022-08-09 00:20:19

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 54 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 53 và 1|| Thời gian tách : 2022-08-09 00:20:23

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 53 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 52 và 1|| Thời gian tách : 2022-08-09 00:20:26

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 52 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 51 và 1|| Thời gian tách : 2022-08-09 00:20:31

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 51 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 50 và 1|| Thời gian tách : 2022-08-09 00:20:35

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 49 và 1|| Thời gian tách : 2022-08-09 00:21:41

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 49 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 48 và 1|| Thời gian tách : 2022-08-09 00:21:45

 Name : tieukodieu đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 111 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 110 và 1|| Thời gian tách : 2022-08-09 00:25:14

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 94 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 93 và 1|| Thời gian tách : 2022-08-09 00:28:35

 Name : blackgoku đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-08-09 00:30:33

 Name : tieukodieu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 87 || Số lượng tách: 12 || Số lượng vật phẩm sau khi tách: 75 và 12|| Thời gian tách : 2022-08-09 00:37:24

 Name : tieukodieu đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 1424 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1423 và 1|| Thời gian tách : 2022-08-09 00:38:15

 Name : tieukodieu đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 1423 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1422 và 1|| Thời gian tách : 2022-08-09 00:38:27

 Name : tieukodieu đã tách vật phẩm || Vật phẩm tách: 954 || Số lượng vật phẩm ban đầu 1350 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1349 và 1|| Thời gian tách : 2022-08-09 00:44:08

 Name : tieukodieu đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 3291 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3290 và 1|| Thời gian tách : 2022-08-09 00:47:44

 Name : moondess đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 28 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 27 và 1|| Thời gian tách : 2022-08-09 00:59:26

 Name : notebook đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 702 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 692 và 10|| Thời gian tách : 2022-08-09 00:59:52

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2007 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2006 và 1|| Thời gian tách : 2022-08-09 01:00:02

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2006 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2005 và 1|| Thời gian tách : 2022-08-09 01:00:03

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2005 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2004 và 1|| Thời gian tách : 2022-08-09 01:00:05

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2004 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2003 và 1|| Thời gian tách : 2022-08-09 01:00:06

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2003 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2002 và 1|| Thời gian tách : 2022-08-09 01:00:08

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2002 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2001 và 1|| Thời gian tách : 2022-08-09 01:00:10

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2001 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2000 và 1|| Thời gian tách : 2022-08-09 01:00:11

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2000 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1999 và 1|| Thời gian tách : 2022-08-09 01:00:13

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 1999 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1998 và 1|| Thời gian tách : 2022-08-09 01:00:14

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 1998 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1997 và 1|| Thời gian tách : 2022-08-09 01:00:15

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 1997 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1996 và 1|| Thời gian tách : 2022-08-09 01:00:17

 Name : xu30mk đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 1996 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1995 và 1|| Thời gian tách : 2022-08-09 01:00:18

