
 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 18100 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 18000 và 100|| Thời gian tách : 2022-06-11 01:37:53

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 18000 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 17900 và 100|| Thời gian tách : 2022-06-11 01:38:01

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 17900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 17800 và 100|| Thời gian tách : 2022-06-11 01:38:04

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 17800 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 16800 và 1000|| Thời gian tách : 2022-06-11 01:38:12

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16800 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16700 và 100|| Thời gian tách : 2022-06-11 01:38:18

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16700 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16600 và 100|| Thời gian tách : 2022-06-11 01:38:21

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16600 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16500 và 100|| Thời gian tách : 2022-06-11 01:38:28

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16500 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16400 và 100|| Thời gian tách : 2022-06-11 01:38:31

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16400 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16300 và 100|| Thời gian tách : 2022-06-11 01:38:35

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16300 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16200 và 100|| Thời gian tách : 2022-06-11 01:38:38

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16200 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16100 và 100|| Thời gian tách : 2022-06-11 01:38:43

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16100 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16000 và 100|| Thời gian tách : 2022-06-11 01:38:46

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19860 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19850 và 10|| Thời gian tách : 2022-06-11 01:43:15

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19850 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19840 và 10|| Thời gian tách : 2022-06-11 01:43:19

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19840 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19830 và 10|| Thời gian tách : 2022-06-11 01:43:23

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19830 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19820 và 10|| Thời gian tách : 2022-06-11 01:43:30

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19820 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19810 và 10|| Thời gian tách : 2022-06-11 01:43:32

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19810 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19800 và 10|| Thời gian tách : 2022-06-11 01:43:36

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19800 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19790 và 10|| Thời gian tách : 2022-06-11 01:43:38

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19790 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19780 và 10|| Thời gian tách : 2022-06-11 01:43:41

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19780 || Số lượng tách: 780 || Số lượng vật phẩm sau khi tách: 19000 và 780|| Thời gian tách : 2022-06-11 01:43:47

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 860 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 850 và 10|| Thời gian tách : 2022-06-11 01:44:06

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 850 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 840 và 10|| Thời gian tách : 2022-06-11 01:44:09

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 840 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 830 và 10|| Thời gian tách : 2022-06-11 01:44:12

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 830 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 820 và 10|| Thời gian tách : 2022-06-11 01:44:14

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 820 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 810 và 10|| Thời gian tách : 2022-06-11 01:44:20

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 810 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 800 và 10|| Thời gian tách : 2022-06-11 01:44:23

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 800 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 790 và 10|| Thời gian tách : 2022-06-11 01:44:27

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 790 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 780 và 10|| Thời gian tách : 2022-06-11 01:44:30

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 780 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 770 và 10|| Thời gian tách : 2022-06-11 01:44:34

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 770 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 760 và 10|| Thời gian tách : 2022-06-11 01:44:37

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 760 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 750 và 10|| Thời gian tách : 2022-06-11 01:44:43

