
 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 783 || Số lượng tách: 250 || Số lượng vật phẩm sau khi tách: 533 và 250|| Thời gian tách : 2022-03-25 10:54:06

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 533 || Số lượng tách: 250 || Số lượng vật phẩm sau khi tách: 283 và 250|| Thời gian tách : 2022-03-25 10:54:09

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 283 || Số lượng tách: 250 || Số lượng vật phẩm sau khi tách: 33 và 250|| Thời gian tách : 2022-03-25 10:54:12

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 827 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 327 và 500|| Thời gian tách : 2022-03-25 10:54:18

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2599 || Số lượng tách: 99 || Số lượng vật phẩm sau khi tách: 2500 và 99|| Thời gian tách : 2022-03-25 11:18:54

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 2300 và 200|| Thời gian tách : 2022-03-25 11:19:35

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 2300 và 200|| Thời gian tách : 2022-03-25 11:19:41

 Name : bomman đã tách vật phẩm || Vật phẩm tách: 741 || Số lượng vật phẩm ban đầu 101 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 100 và 1|| Thời gian tách : 2022-03-25 11:21:44

 Name : iuuvyy đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-25 12:46:55

 Name : iuuvyy đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-25 13:05:13

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 11246 || Số lượng tách: 1246 || Số lượng vật phẩm sau khi tách: 10000 và 1246|| Thời gian tách : 2022-03-25 13:15:44

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 11100 || Số lượng tách: 1100 || Số lượng vật phẩm sau khi tách: 10000 và 1100|| Thời gian tách : 2022-03-25 13:16:50

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10441 || Số lượng tách: 441 || Số lượng vật phẩm sau khi tách: 10000 và 441|| Thời gian tách : 2022-03-25 13:17:54

 Name : chutiemvang đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10249 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 10049 và 200|| Thời gian tách : 2022-03-25 13:23:33

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10006 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 9006 và 1000|| Thời gian tách : 2022-03-25 13:24:16

 Name : thangx đã tách vật phẩm || Vật phẩm tách: 445 || Số lượng vật phẩm ban đầu 68 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 58 và 10|| Thời gian tách : 2022-03-25 13:24:51

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9055 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 8555 và 500|| Thời gian tách : 2022-03-25 13:30:30

