
 Name : pkgroup đã tách vật phẩm || Vật phẩm tách: 576 || Số lượng vật phẩm ban đầu 210 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 209 và 1|| Thời gian tách : 2022-03-28 12:49:43

 Name : laonhi đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10595 || Số lượng tách: 95 || Số lượng vật phẩm sau khi tách: 10500 và 95|| Thời gian tách : 2022-03-28 12:51:50

 Name : laonhi đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10582 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 10572 và 10|| Thời gian tách : 2022-03-28 12:52:43

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 916 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 11 || Số lượng vật phẩm sau khi tách: 1 và 11|| Thời gian tách : 2022-03-28 12:57:48

 Name : culacgiontan đã tách vật phẩm || Vật phẩm tách: 916 || Số lượng vật phẩm ban đầu 25 || Số lượng tách: 24 || Số lượng vật phẩm sau khi tách: 1 và 24|| Thời gian tách : 2022-03-28 12:59:27

 Name : ryokuhatsu đã tách vật phẩm || Vật phẩm tách: 916 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 19 || Số lượng vật phẩm sau khi tách: 1 và 19|| Thời gian tách : 2022-03-28 13:01:13

 Name : laonhi đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10572 || Số lượng tách: 72 || Số lượng vật phẩm sau khi tách: 10500 và 72|| Thời gian tách : 2022-03-28 13:02:07

 Name : kocanbiet đã tách vật phẩm || Vật phẩm tách: 916 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 1 và 10|| Thời gian tách : 2022-03-28 13:04:21

 Name : tuyetnhung đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 17449 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 7449 và 10000|| Thời gian tách : 2022-03-28 13:08:12

 Name : tuyetnhung đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 17119 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 7119 và 10000|| Thời gian tách : 2022-03-28 13:08:17

 Name : tuyetnhung đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 12808 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 2808 và 10000|| Thời gian tách : 2022-03-28 14:40:45

 Name : tuyetnhung đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 13459 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 3459 và 10000|| Thời gian tách : 2022-03-28 14:41:07

 Name : tuyetnhung đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 13205 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 3205 và 10000|| Thời gian tách : 2022-03-28 14:41:14

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 438 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 8000 và 2000|| Thời gian tách : 2022-03-28 15:28:50

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 9000 và 1000|| Thời gian tách : 2022-03-28 15:29:06

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 7060 || Số lượng tách: 60 || Số lượng vật phẩm sau khi tách: 7000 và 60|| Thời gian tách : 2022-03-28 15:33:06

 Name : inveti01 đã tách vật phẩm || Vật phẩm tách: 21 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-28 16:39:26

 Name : choichozui đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 60 || Số lượng tách: 17 || Số lượng vật phẩm sau khi tách: 43 và 17|| Thời gian tách : 2022-03-28 16:50:17

 Name : obanai22 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 149 || Số lượng tách: 49 || Số lượng vật phẩm sau khi tách: 100 và 49|| Thời gian tách : 2022-03-28 17:06:53

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9925 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9924 và 1|| Thời gian tách : 2022-03-28 17:45:47

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9924 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9923 và 1|| Thời gian tách : 2022-03-28 17:45:48

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9923 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9922 và 1|| Thời gian tách : 2022-03-28 17:45:49

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9922 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9921 và 1|| Thời gian tách : 2022-03-28 17:45:51

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9921 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9920 và 1|| Thời gian tách : 2022-03-28 17:45:52

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9920 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9919 và 1|| Thời gian tách : 2022-03-28 17:45:54

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9919 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9918 và 1|| Thời gian tách : 2022-03-28 17:45:55

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9918 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9917 và 1|| Thời gian tách : 2022-03-28 17:45:56

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9917 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9916 và 1|| Thời gian tách : 2022-03-28 17:45:58

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9916 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9915 và 1|| Thời gian tách : 2022-03-28 17:45:59

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9915 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9914 và 1|| Thời gian tách : 2022-03-28 17:46:01

