
 Name : ahihihi đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-02 13:21:09

 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 742 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-02 17:15:06

 Name : ahihihi đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-02 19:07:27

 Name : ahihihi đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-02 19:07:29

 Name : liooil đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 144 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 44 và 100|| Thời gian tách : 2022-05-02 19:13:40

 Name : kakarot đã tách vật phẩm || Vật phẩm tách: 839 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-02 20:49:32

 Name : ahihihi đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 400 và 100|| Thời gian tách : 2022-05-02 21:42:04

 Name : kiem9x7 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 450 và 50|| Thời gian tách : 2022-05-02 22:17:36

 Name : ltsuki đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 18180 || Số lượng tách: 305 || Số lượng vật phẩm sau khi tách: 17875 và 305|| Thời gian tách : 2022-05-02 22:18:55

 Name : hirosaki đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 494 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 444 và 50|| Thời gian tách : 2022-05-02 22:30:16

 Name : nam2k9 đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-02 23:23:22

 Name : nam2k9 đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-02 23:24:39

 Name : zznunuzz đã tách vật phẩm || Vật phẩm tách: 282 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-02 23:26:37

 Name : mooonnn đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 88 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 78 và 10|| Thời gian tách : 2022-05-02 23:27:22

 Name : zznunuzz đã tách vật phẩm || Vật phẩm tách: 429 || Số lượng vật phẩm ban đầu 673 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 672 và 1|| Thời gian tách : 2022-05-02 23:28:50

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 75 và 1|| Thời gian tách : 2022-05-02 23:29:43

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-05-02 23:29:47

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-05-02 23:29:49

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-05-02 23:29:52

 Name : nam2k9 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 1151 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 1111 và 40|| Thời gian tách : 2022-05-02 23:30:10

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-05-02 23:33:30

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-05-02 23:33:33

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-05-02 23:33:37

 Name : horamau đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-05-02 23:33:39
