
 Name : zerous đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 11059 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 10909 và 150|| Thời gian tách : 2022-05-03 22:48:44

 Name : anhyeueml đã tách vật phẩm || Vật phẩm tách: 385 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-05-03 22:48:52

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 1850 || Số lượng tách: 950 || Số lượng vật phẩm sau khi tách: 900 và 950|| Thời gian tách : 2022-05-03 23:19:07

 Name : deckcanvip đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 90 và 5|| Thời gian tách : 2022-05-03 23:23:51

 Name : deckcanvip đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 91 || Số lượng tách: 11 || Số lượng vật phẩm sau khi tách: 80 và 11|| Thời gian tách : 2022-05-03 23:30:42

 Name : deckcanvip đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 80 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 75 và 5|| Thời gian tách : 2022-05-03 23:31:34

 Name : deckcanvip đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 70 và 5|| Thời gian tách : 2022-05-03 23:31:38
