
 Name : inzaghi đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 25 và 25|| Thời gian tách : 2022-03-27 10:53:33

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 140 || Số lượng tách: 125 || Số lượng vật phẩm sau khi tách: 15 và 125|| Thời gian tách : 2022-03-27 10:55:54

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 574 || Số lượng vật phẩm ban đầu 129 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 29 và 100|| Thời gian tách : 2022-03-27 10:56:15

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 573 || Số lượng vật phẩm ban đầu 133 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 83 và 50|| Thời gian tách : 2022-03-27 10:58:42

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-03-27 12:00:30

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-03-27 12:00:34

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-03-27 12:00:37

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-03-27 12:00:44

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-27 12:00:47

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-27 12:00:51

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-03-27 12:00:53

 Name : baybegirl đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-03-27 12:00:56

