
 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10730 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 10710 và 20|| Thời gian tách : 2022-05-16 14:25:38

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9270 || Số lượng tách: 120 || Số lượng vật phẩm sau khi tách: 9150 và 120|| Thời gian tách : 2022-05-16 14:52:34

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5810 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5809 và 1|| Thời gian tách : 2022-05-16 14:54:05

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5809 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5808 và 1|| Thời gian tách : 2022-05-16 14:54:09

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5808 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5807 và 1|| Thời gian tách : 2022-05-16 14:54:20

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5807 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5806 và 1|| Thời gian tách : 2022-05-16 14:54:27

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5806 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5805 và 1|| Thời gian tách : 2022-05-16 14:54:31

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5805 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5804 và 1|| Thời gian tách : 2022-05-16 14:54:35

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5804 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5803 và 1|| Thời gian tách : 2022-05-16 14:54:38

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5803 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5802 và 1|| Thời gian tách : 2022-05-16 14:54:41

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5802 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5801 và 1|| Thời gian tách : 2022-05-16 14:54:45

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5801 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5800 và 1|| Thời gian tách : 2022-05-16 14:54:49

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5800 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5799 và 1|| Thời gian tách : 2022-05-16 14:54:52

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5799 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5798 và 1|| Thời gian tách : 2022-05-16 14:54:56

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5798 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5797 và 1|| Thời gian tách : 2022-05-16 14:55:03

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5797 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5796 và 1|| Thời gian tách : 2022-05-16 14:55:07

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5796 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5795 và 1|| Thời gian tách : 2022-05-16 14:55:11

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5795 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5794 và 1|| Thời gian tách : 2022-05-16 14:55:16

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5794 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5793 và 1|| Thời gian tách : 2022-05-16 14:55:25

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5793 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5792 và 1|| Thời gian tách : 2022-05-16 14:55:29

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5792 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5791 và 1|| Thời gian tách : 2022-05-16 14:55:34

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5791 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5790 và 1|| Thời gian tách : 2022-05-16 14:55:38

 Name : gameno1 đã tách vật phẩm || Vật phẩm tách: 599 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-16 16:22:02

 Name : hanyume đã tách vật phẩm || Vật phẩm tách: 585 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-16 17:26:31

 Name : vodanh đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 3554 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3552 và 2|| Thời gian tách : 2022-05-16 19:21:37

 Name : vodanh đã tách vật phẩm || Vật phẩm tách: 874 || Số lượng vật phẩm ban đầu 6000 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 5998 và 2|| Thời gian tách : 2022-05-16 19:24:43

 Name : vodanh đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 242 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 192 và 50|| Thời gian tách : 2022-05-16 21:33:01

 Name : gamebipne đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-16 22:31:43

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1024 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 924 và 100|| Thời gian tách : 2022-05-16 23:12:42

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 49 và 1|| Thời gian tách : 2022-05-16 23:31:27

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 49 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 48 và 1|| Thời gian tách : 2022-05-16 23:31:29

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 47 và 1|| Thời gian tách : 2022-05-16 23:31:33

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 47 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 46 và 1|| Thời gian tách : 2022-05-16 23:31:39

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 46 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 45 và 1|| Thời gian tách : 2022-05-16 23:31:40

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 45 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 44 và 1|| Thời gian tách : 2022-05-16 23:31:43

