
 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 16 và 4|| Thời gian tách : 2022-04-30 21:42:37

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 742 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-04-30 21:43:11

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 6 || Số lượng vật phẩm sau khi tách: 10 và 6|| Thời gian tách : 2022-04-30 21:44:18

 Name : vcghfxx đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 13216 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 12716 và 500|| Thời gian tách : 2022-04-30 21:47:08

 Name : vcghfxxt đã tách vật phẩm || Vật phẩm tách: 832 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 39 và 1|| Thời gian tách : 2022-04-30 21:51:36

 Name : vcghfxxt đã tách vật phẩm || Vật phẩm tách: 832 || Số lượng vật phẩm ban đầu 39 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 38 và 1|| Thời gian tách : 2022-04-30 21:51:39

 Name : vcghfxxt đã tách vật phẩm || Vật phẩm tách: 832 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 37 và 1|| Thời gian tách : 2022-04-30 21:51:41

 Name : vcghfxxt đã tách vật phẩm || Vật phẩm tách: 832 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 36 và 1|| Thời gian tách : 2022-04-30 21:51:44

 Name : vcghfxxt đã tách vật phẩm || Vật phẩm tách: 832 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 34 || Số lượng vật phẩm sau khi tách: 2 và 34|| Thời gian tách : 2022-04-30 21:52:08

 Name : vcghfxxt đã tách vật phẩm || Vật phẩm tách: 832 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-04-30 21:52:41
