
 Name : cavoicon đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-03-23 00:05:33
 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19962 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19952 và 10|| Thời gian tách : 2022-03-23 19:18:15

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19952 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 19934 và 18|| Thời gian tách : 2022-03-23 19:18:17

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19934 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19924 và 10|| Thời gian tách : 2022-03-23 19:18:19

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19924 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19914 và 10|| Thời gian tách : 2022-03-23 19:18:21

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19914 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19904 và 10|| Thời gian tách : 2022-03-23 19:18:23

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19904 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19894 và 10|| Thời gian tách : 2022-03-23 19:18:24

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19894 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 19876 và 18|| Thời gian tách : 2022-03-23 19:18:26

 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 282 || Số lượng vật phẩm ban đầu 205 || Số lượng tách: 190 || Số lượng vật phẩm sau khi tách: 15 và 190|| Thời gian tách : 2022-03-23 19:18:26

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19876 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19866 và 10|| Thời gian tách : 2022-03-23 19:18:27

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19866 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19856 và 10|| Thời gian tách : 2022-03-23 19:18:29

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19856 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19846 và 10|| Thời gian tách : 2022-03-23 19:18:30

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19846 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19836 và 10|| Thời gian tách : 2022-03-23 19:18:32

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19836 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 19818 và 18|| Thời gian tách : 2022-03-23 19:18:33

 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 15 và 4|| Thời gian tách : 2022-03-23 19:18:34

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19818 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 19800 và 18|| Thời gian tách : 2022-03-23 19:18:35

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19800 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 19782 và 18|| Thời gian tách : 2022-03-23 19:18:36

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19782 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19772 và 10|| Thời gian tách : 2022-03-23 19:18:38

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19772 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19762 và 10|| Thời gian tách : 2022-03-23 19:18:42

 Name : phutop1 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19762 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 19752 và 10|| Thời gian tách : 2022-03-23 19:18:44

 Name : honain đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-23 19:19:26

 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 282 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 14 || Số lượng vật phẩm sau khi tách: 1 và 14|| Thời gian tách : 2022-03-23 19:19:32

 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 14 || Số lượng vật phẩm sau khi tách: 1 và 14|| Thời gian tách : 2022-03-23 19:19:36

 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 12 và 2|| Thời gian tách : 2022-03-23 19:24:55

 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 282 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 12 và 3|| Thời gian tách : 2022-03-23 19:25:00

 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 282 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 11 || Số lượng vật phẩm sau khi tách: 1 và 11|| Thời gian tách : 2022-03-23 19:25:45

