
 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 147 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 137 và 10|| Thời gian tách : 2022-05-27 07:23:25

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 137 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 127 và 10|| Thời gian tách : 2022-05-27 07:23:28

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 127 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 117 và 10|| Thời gian tách : 2022-05-27 07:23:30

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 117 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 107 và 10|| Thời gian tách : 2022-05-27 07:23:32

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 107 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 97 và 10|| Thời gian tách : 2022-05-27 07:23:34

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 97 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 87 và 10|| Thời gian tách : 2022-05-27 07:23:37

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 87 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 77 và 10|| Thời gian tách : 2022-05-27 07:23:39

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 67 và 10|| Thời gian tách : 2022-05-27 07:23:41

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 22 || Số lượng tách: 6 || Số lượng vật phẩm sau khi tách: 16 và 6|| Thời gian tách : 2022-05-27 07:25:58

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19 và 1|| Thời gian tách : 2022-05-27 07:26:58

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18 và 1|| Thời gian tách : 2022-05-27 07:27:00

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 17 và 1|| Thời gian tách : 2022-05-27 07:27:02

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-27 07:27:05

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-27 07:27:07

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-27 07:27:09

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-27 07:27:11

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-27 07:27:12

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-27 07:27:14

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-27 07:27:16

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-27 07:27:17

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-27 07:27:19

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-27 07:27:21

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-27 07:27:24

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-27 07:27:26

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-27 07:27:28

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-27 07:27:33

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-27 07:27:35

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-27 07:27:39

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-27 07:31:09

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 163 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 145 và 18|| Thời gian tách : 2022-05-27 07:31:52

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 145 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 127 và 18|| Thời gian tách : 2022-05-27 07:31:59

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 127 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 109 và 18|| Thời gian tách : 2022-05-27 07:32:07

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 109 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 91 và 18|| Thời gian tách : 2022-05-27 07:32:13

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 91 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 73 và 18|| Thời gian tách : 2022-05-27 07:32:27

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 55 và 18|| Thời gian tách : 2022-05-27 07:32:36

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 55 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 37 và 18|| Thời gian tách : 2022-05-27 07:32:42

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 19 và 18|| Thời gian tách : 2022-05-27 07:32:49

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 4 và 2|| Thời gian tách : 2022-05-27 09:25:02

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-05-27 09:25:12

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-05-27 09:26:03

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-27 09:27:06

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-27 09:27:16

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-27 09:27:24

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 4553 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 3553 và 1000|| Thời gian tách : 2022-05-27 11:07:51

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 3553 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 2553 và 1000|| Thời gian tách : 2022-05-27 11:07:59

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 2553 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 1553 và 1000|| Thời gian tách : 2022-05-27 11:08:13

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 4553 || Số lượng tách: 700 || Số lượng vật phẩm sau khi tách: 3853 và 700|| Thời gian tách : 2022-05-27 11:08:56

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 62 || Số lượng tách: 12 || Số lượng vật phẩm sau khi tách: 50 và 12|| Thời gian tách : 2022-05-27 11:11:46

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-27 11:11:52

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-27 11:11:57

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-27 11:12:03

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-27 11:12:06

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-27 11:12:10

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-27 11:12:13

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-27 11:12:16

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-27 11:12:20

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-27 11:12:24

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-27 11:12:27

 Name : gamekyniem đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-27 11:12:30

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 2603 || Số lượng tách: 603 || Số lượng vật phẩm sau khi tách: 2000 và 603|| Thời gian tách : 2022-05-27 11:25:02

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 548 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-27 11:27:30

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-05-27 11:58:36

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-27 12:46:46

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-27 12:46:48

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-27 12:46:50

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-27 12:46:52

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 53 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 52 và 1|| Thời gian tách : 2022-05-27 13:39:19

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 52 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 51 và 1|| Thời gian tách : 2022-05-27 13:39:24

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 51 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 50 và 1|| Thời gian tách : 2022-05-27 13:39:39

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 49 và 1|| Thời gian tách : 2022-05-27 13:39:47

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 49 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 48 và 1|| Thời gian tách : 2022-05-27 13:39:51

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 47 và 1|| Thời gian tách : 2022-05-27 13:39:56

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 47 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 46 và 1|| Thời gian tách : 2022-05-27 13:40:01

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 46 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 45 và 1|| Thời gian tách : 2022-05-27 13:40:05

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 45 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 44 và 1|| Thời gian tách : 2022-05-27 13:40:10

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 44 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 43 và 1|| Thời gian tách : 2022-05-27 13:40:14

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 42 và 1|| Thời gian tách : 2022-05-27 13:40:18

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 42 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 41 và 1|| Thời gian tách : 2022-05-27 13:40:35

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 41 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 40 và 1|| Thời gian tách : 2022-05-27 13:40:40

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 39 và 1|| Thời gian tách : 2022-05-27 13:40:44

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 39 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 38 và 1|| Thời gian tách : 2022-05-27 13:40:49

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 37 và 1|| Thời gian tách : 2022-05-27 13:40:54

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 36 và 1|| Thời gian tách : 2022-05-27 13:40:59

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 35 và 1|| Thời gian tách : 2022-05-27 13:41:16

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 35 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 34 và 1|| Thời gian tách : 2022-05-27 13:41:21

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 33 và 1|| Thời gian tách : 2022-05-27 13:41:26

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 32 và 1|| Thời gian tách : 2022-05-27 13:41:31

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 32 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 31 và 1|| Thời gian tách : 2022-05-27 13:41:35

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 31 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 30 và 1|| Thời gian tách : 2022-05-27 13:41:39

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 29 và 1|| Thời gian tách : 2022-05-27 13:41:44

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 29 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 28 và 1|| Thời gian tách : 2022-05-27 13:41:49

 Name : lucphuc đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 28 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 27 và 1|| Thời gian tách : 2022-05-27 13:41:59

