
 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8717 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 7217 và 1500|| Thời gian tách : 2022-06-05 12:10:23

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 260 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 250 và 10|| Thời gian tách : 2022-06-05 12:13:38

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7265 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 7215 và 50|| Thời gian tách : 2022-06-05 12:17:12

 Name : emvanconbe đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 130 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 30 và 100|| Thời gian tách : 2022-06-05 12:17:15

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7215 || Số lượng tách: 800 || Số lượng vật phẩm sau khi tách: 6415 và 800|| Thời gian tách : 2022-06-05 12:17:19

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 17 và 1|| Thời gian tách : 2022-06-05 12:40:16

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-06-05 12:40:23

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-06-05 12:40:29

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-06-05 12:40:35

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-06-05 12:40:42

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-06-05 12:40:48

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-06-05 12:40:54

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-06-05 12:41:02

 Name : chotaoxin đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 15035 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 5035 và 10000|| Thời gian tách : 2022-06-05 14:29:06

