
 Name : kunaidz đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 4 và 3|| Thời gian tách : 2022-05-06 17:51:33

 Name : lmaooo đã tách vật phẩm || Vật phẩm tách: 734 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-06 17:52:51

 Name : yeuxoac đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 497 || Số lượng tách: 97 || Số lượng vật phẩm sau khi tách: 400 và 97|| Thời gian tách : 2022-05-06 19:03:38

 Name : yelowa đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 490 || Số lượng vật phẩm sau khi tách: 10 và 490|| Thời gian tách : 2022-05-06 20:34:56

 Name : khabanh đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 400 và 100|| Thời gian tách : 2022-05-06 20:50:08

 Name : canbee69 đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 1990 || Số lượng tách: 490 || Số lượng vật phẩm sau khi tách: 1500 và 490|| Thời gian tách : 2022-05-06 21:30:58

 Name : phungyeu đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 240 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 220 và 20|| Thời gian tách : 2022-05-06 22:04:34

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 6 || Số lượng vật phẩm sau khi tách: 30 và 6|| Thời gian tách : 2022-05-06 23:55:41
