
 Name : bia333 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 740 || Số lượng tách: 140 || Số lượng vật phẩm sau khi tách: 600 và 140|| Thời gian tách : 2022-06-04 00:22:12
 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 97 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 96 và 1|| Thời gian tách : 2022-06-04 09:20:45

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 96 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 95 và 1|| Thời gian tách : 2022-06-04 09:20:54

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 94 và 1|| Thời gian tách : 2022-06-04 09:20:58

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 94 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 93 và 1|| Thời gian tách : 2022-06-04 09:21:02

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 93 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 92 và 1|| Thời gian tách : 2022-06-04 09:21:07

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 92 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 91 và 1|| Thời gian tách : 2022-06-04 09:21:11

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 91 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 90 và 1|| Thời gian tách : 2022-06-04 09:21:15

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 90 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 89 và 1|| Thời gian tách : 2022-06-04 09:21:19

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 89 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 88 và 1|| Thời gian tách : 2022-06-04 09:21:23

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 88 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 87 và 1|| Thời gian tách : 2022-06-04 09:21:27

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 633 || Số lượng tách: 71 || Số lượng vật phẩm sau khi tách: 562 và 71|| Thời gian tách : 2022-06-04 09:34:56

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 201 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 200 và 1|| Thời gian tách : 2022-06-04 09:41:38

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 199 và 1|| Thời gian tách : 2022-06-04 09:41:42

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 199 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 198 và 1|| Thời gian tách : 2022-06-04 09:41:46

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 198 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 197 và 1|| Thời gian tách : 2022-06-04 09:41:50

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 197 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 196 và 1|| Thời gian tách : 2022-06-04 09:41:54

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 196 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 195 và 1|| Thời gian tách : 2022-06-04 09:41:58

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 195 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 194 và 1|| Thời gian tách : 2022-06-04 09:42:02

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 194 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 193 và 1|| Thời gian tách : 2022-06-04 09:42:06

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 193 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 192 và 1|| Thời gian tách : 2022-06-04 09:42:11

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 192 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 191 và 1|| Thời gian tách : 2022-06-04 09:42:20

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 191 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 190 và 1|| Thời gian tách : 2022-06-04 09:42:28

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 190 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 189 và 1|| Thời gian tách : 2022-06-04 09:42:34

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 189 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 188 và 1|| Thời gian tách : 2022-06-04 09:42:38

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 188 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 187 và 1|| Thời gian tách : 2022-06-04 09:42:42

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 187 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 186 và 1|| Thời gian tách : 2022-06-04 09:42:46

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 186 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 185 và 1|| Thời gian tách : 2022-06-04 09:42:50

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 185 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 184 và 1|| Thời gian tách : 2022-06-04 09:42:54

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 184 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 183 và 1|| Thời gian tách : 2022-06-04 09:42:57

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 155 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 154 và 1|| Thời gian tách : 2022-06-04 09:43:06

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 154 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 153 và 1|| Thời gian tách : 2022-06-04 09:43:10

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 996 || Số lượng vật phẩm ban đầu 471 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 470 và 1|| Thời gian tách : 2022-06-04 10:54:49

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1789 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1689 và 100|| Thời gian tách : 2022-06-04 11:14:37

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1689 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1589 và 100|| Thời gian tách : 2022-06-04 11:14:42

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1789 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1689 và 100|| Thời gian tách : 2022-06-04 11:14:50

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1689 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1589 và 100|| Thời gian tách : 2022-06-04 11:14:54

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1789 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1689 và 100|| Thời gian tách : 2022-06-04 11:15:16

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1689 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1589 và 100|| Thời gian tách : 2022-06-04 11:15:20

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 52 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 32 và 20|| Thời gian tách : 2022-06-04 12:14:27

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 32 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 12 và 20|| Thời gian tách : 2022-06-04 12:14:32

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 10 và 10|| Thời gian tách : 2022-06-04 12:14:38

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 15 và 5|| Thời gian tách : 2022-06-04 12:14:44

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 11 và 4|| Thời gian tách : 2022-06-04 12:14:48

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 6 và 4|| Thời gian tách : 2022-06-04 12:14:52

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 6 và 4|| Thời gian tách : 2022-06-04 12:14:57

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 2 và 3|| Thời gian tách : 2022-06-04 12:15:02

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 3 và 3|| Thời gian tách : 2022-06-04 12:15:07

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 8 và 3|| Thời gian tách : 2022-06-04 12:15:12

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 3 và 3|| Thời gian tách : 2022-06-04 12:15:18

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 4 và 4|| Thời gian tách : 2022-06-04 12:15:23

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-06-04 12:15:28

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-06-04 12:15:34

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-06-04 12:15:38

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-06-04 12:15:43

