
 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 133 || Số lượng tách: 33 || Số lượng vật phẩm sau khi tách: 100 và 33|| Thời gian tách : 2022-05-31 06:05:03

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 101 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 100 và 1|| Thời gian tách : 2022-05-31 06:41:22

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 99 và 1|| Thời gian tách : 2022-05-31 06:41:28

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 99 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 98 và 1|| Thời gian tách : 2022-05-31 06:41:36

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 98 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 97 và 1|| Thời gian tách : 2022-05-31 06:41:49

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 97 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 96 và 1|| Thời gian tách : 2022-05-31 06:41:54

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 96 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 95 và 1|| Thời gian tách : 2022-05-31 06:42:00

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 94 và 1|| Thời gian tách : 2022-05-31 06:42:05

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 94 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 93 và 1|| Thời gian tách : 2022-05-31 06:42:10

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 93 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 92 và 1|| Thời gian tách : 2022-05-31 06:42:44

