
 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 882 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 732 và 150|| Thời gian tách : 2022-06-01 05:10:15
 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 361 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 360 và 1|| Thời gian tách : 2022-06-01 11:10:05

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 360 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 359 và 1|| Thời gian tách : 2022-06-01 11:10:10

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 359 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 358 và 1|| Thời gian tách : 2022-06-01 11:10:14

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 358 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 357 và 1|| Thời gian tách : 2022-06-01 11:10:29

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 357 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 356 và 1|| Thời gian tách : 2022-06-01 11:10:34

 Name : tesgame đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-01 11:49:43

 Name : tesgame đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-01 11:49:45

 Name : tesgame đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-01 11:49:48

 Name : tesgame đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 11:49:50

 Name : tesgame đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 11:51:01

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 150 và 50|| Thời gian tách : 2022-06-01 11:57:57

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 150 và 50|| Thời gian tách : 2022-06-01 11:58:20

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 50 và 150|| Thời gian tách : 2022-06-01 11:58:38

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 25 và 5|| Thời gian tách : 2022-06-01 12:18:56

 Name : xxyyzz đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-01 12:37:13

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 400 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 390 và 10|| Thời gian tách : 2022-06-01 12:43:57

 Name : hackerlo đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 13:32:29

 Name : cung7x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-06-01 13:50:57

 Name : cung7x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-06-01 13:51:05

 Name : cung7x đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 25 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 24 và 1|| Thời gian tách : 2022-06-01 13:51:10

 Name : quat7x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 23 || Số lượng tách: 22 || Số lượng vật phẩm sau khi tách: 1 và 22|| Thời gian tách : 2022-06-01 13:55:52

 Name : kiemrhd đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 5174 || Số lượng tách: 617 || Số lượng vật phẩm sau khi tách: 4557 và 617|| Thời gian tách : 2022-06-01 14:03:22

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-01 14:13:15

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 477 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 277 và 200|| Thời gian tách : 2022-06-01 15:51:24

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 113 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 103 và 10|| Thời gian tách : 2022-06-01 15:57:06

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 103 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 93 và 10|| Thời gian tách : 2022-06-01 15:57:13

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 93 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 83 và 10|| Thời gian tách : 2022-06-01 15:57:19

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 10 và 10|| Thời gian tách : 2022-06-01 16:35:38

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-06-01 16:35:43

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 7 và 2|| Thời gian tách : 2022-06-01 16:35:47

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 4 và 3|| Thời gian tách : 2022-06-01 16:35:52

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-06-01 16:35:57

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 7 và 2|| Thời gian tách : 2022-06-01 16:36:01

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 4 và 3|| Thời gian tách : 2022-06-01 16:36:06

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-01 16:36:12

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 16:36:15

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-01 16:36:22

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 16:36:26

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 16:36:32

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-01 16:36:36

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 16:36:40

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 16:36:45

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 16:36:50

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-01 16:36:55

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 16:37:02

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 16:37:06

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 44 || Số lượng tách: 22 || Số lượng vật phẩm sau khi tách: 22 và 22|| Thời gian tách : 2022-06-01 17:24:14

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2613 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2513 và 100|| Thời gian tách : 2022-06-01 17:45:09

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2513 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2413 và 100|| Thời gian tách : 2022-06-01 17:45:16

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2413 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2313 và 100|| Thời gian tách : 2022-06-01 17:45:22

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2313 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2213 và 100|| Thời gian tách : 2022-06-01 17:45:28

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2213 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2113 và 100|| Thời gian tách : 2022-06-01 17:45:38

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2113 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2013 và 100|| Thời gian tách : 2022-06-01 17:45:44

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1174 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1173 và 1|| Thời gian tách : 2022-06-01 17:52:14

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1173 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1172 và 1|| Thời gian tách : 2022-06-01 17:52:19

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1172 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1171 và 1|| Thời gian tách : 2022-06-01 17:52:23

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1171 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1170 và 1|| Thời gian tách : 2022-06-01 17:52:26

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1170 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1169 và 1|| Thời gian tách : 2022-06-01 17:52:29

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1169 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1168 và 1|| Thời gian tách : 2022-06-01 17:52:38

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1168 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1167 và 1|| Thời gian tách : 2022-06-01 17:52:41

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1167 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1166 và 1|| Thời gian tách : 2022-06-01 17:52:44

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1166 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1165 và 1|| Thời gian tách : 2022-06-01 17:52:49

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1165 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1164 và 1|| Thời gian tách : 2022-06-01 17:52:52

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1164 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1163 và 1|| Thời gian tách : 2022-06-01 17:52:59

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1163 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1162 và 1|| Thời gian tách : 2022-06-01 17:53:03

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1162 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1161 và 1|| Thời gian tách : 2022-06-01 17:53:06

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1161 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1160 và 1|| Thời gian tách : 2022-06-01 17:53:09

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1160 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1159 và 1|| Thời gian tách : 2022-06-01 17:53:13

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1159 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1158 và 1|| Thời gian tách : 2022-06-01 17:53:16

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1158 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1157 và 1|| Thời gian tách : 2022-06-01 17:53:20

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1157 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1156 và 1|| Thời gian tách : 2022-06-01 17:53:25

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1156 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1155 và 1|| Thời gian tách : 2022-06-01 17:53:28

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1155 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1154 và 1|| Thời gian tách : 2022-06-01 17:53:32

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3087 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3077 và 10|| Thời gian tách : 2022-06-01 17:54:14

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3077 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3067 và 10|| Thời gian tách : 2022-06-01 17:54:19

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3067 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3057 và 10|| Thời gian tách : 2022-06-01 17:54:23

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3057 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3047 và 10|| Thời gian tách : 2022-06-01 17:54:27

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3047 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3037 và 10|| Thời gian tách : 2022-06-01 17:54:37

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3027 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3017 và 10|| Thời gian tách : 2022-06-01 17:56:45

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3017 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3007 và 10|| Thời gian tách : 2022-06-01 17:56:49

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3007 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2997 và 10|| Thời gian tách : 2022-06-01 17:56:53

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2997 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2987 và 10|| Thời gian tách : 2022-06-01 17:56:57

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2987 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2977 và 10|| Thời gian tách : 2022-06-01 17:57:01

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2977 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2967 và 10|| Thời gian tách : 2022-06-01 17:57:06

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2967 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2957 và 10|| Thời gian tách : 2022-06-01 17:57:10

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2957 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 2947 và 10|| Thời gian tách : 2022-06-01 17:57:14

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3 và 10|| Thời gian tách : 2022-06-01 17:58:42

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 94 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 84 và 10|| Thời gian tách : 2022-06-01 17:59:04

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 84 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 74 và 10|| Thời gian tách : 2022-06-01 17:59:08

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 64 và 10|| Thời gian tách : 2022-06-01 17:59:13

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 64 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 54 và 10|| Thời gian tách : 2022-06-01 17:59:16

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 54 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 44 và 10|| Thời gian tách : 2022-06-01 17:59:21

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 44 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 34 và 10|| Thời gian tách : 2022-06-01 17:59:27

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 24 và 10|| Thời gian tách : 2022-06-01 17:59:33

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 597 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 577 và 20|| Thời gian tách : 2022-06-01 18:01:04

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 577 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 557 và 20|| Thời gian tách : 2022-06-01 18:01:14

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 557 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 537 và 20|| Thời gian tách : 2022-06-01 18:01:21

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 537 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 517 và 20|| Thời gian tách : 2022-06-01 18:01:25

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 517 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 497 và 20|| Thời gian tách : 2022-06-01 18:01:30

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 497 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 477 và 20|| Thời gian tách : 2022-06-01 18:01:36

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 477 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 457 và 20|| Thời gian tách : 2022-06-01 18:01:41

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 457 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 437 và 20|| Thời gian tách : 2022-06-01 18:01:46

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2628 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2578 và 50|| Thời gian tách : 2022-06-01 18:03:35

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2578 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2528 và 50|| Thời gian tách : 2022-06-01 18:03:39

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2528 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2478 và 50|| Thời gian tách : 2022-06-01 18:03:43

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2478 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2428 và 50|| Thời gian tách : 2022-06-01 18:03:47

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2428 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2378 và 50|| Thời gian tách : 2022-06-01 18:03:53

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2378 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 2358 và 20|| Thời gian tách : 2022-06-01 18:03:59

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2358 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2308 và 50|| Thời gian tách : 2022-06-01 18:04:04

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2308 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2258 và 50|| Thời gian tách : 2022-06-01 18:04:08

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2258 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2208 và 50|| Thời gian tách : 2022-06-01 18:04:13

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2208 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2158 và 50|| Thời gian tách : 2022-06-01 18:04:18

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2466 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2416 và 50|| Thời gian tách : 2022-06-01 18:06:51

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2416 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2366 và 50|| Thời gian tách : 2022-06-01 18:06:55

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2366 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2316 và 50|| Thời gian tách : 2022-06-01 18:07:00

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2316 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2266 và 50|| Thời gian tách : 2022-06-01 18:07:05

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2266 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2216 và 50|| Thời gian tách : 2022-06-01 18:07:09

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2216 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2166 và 50|| Thời gian tách : 2022-06-01 18:07:14

