
 Name : huy2chim đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 88 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 83 và 5|| Thời gian tách : 2022-05-17 00:11:10
 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-17 06:13:26

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-17 06:13:27

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-17 06:13:29

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-17 06:13:31

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-17 06:13:34

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-17 06:13:35

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-17 06:13:53

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-17 06:13:55

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-17 06:13:57

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-17 06:14:01

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-17 06:14:01

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-17 06:14:02

