
 Name : kocanbiet đã tách vật phẩm || Vật phẩm tách: 838 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-04-12 00:14:15
 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1750 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1700 và 50|| Thời gian tách : 2022-04-12 20:06:48

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1700 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1650 và 50|| Thời gian tách : 2022-04-12 20:06:50

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1650 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1600 và 50|| Thời gian tách : 2022-04-12 20:06:53

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1600 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1550 và 50|| Thời gian tách : 2022-04-12 20:06:55

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1550 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1500 và 50|| Thời gian tách : 2022-04-12 20:06:57

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1500 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1450 và 50|| Thời gian tách : 2022-04-12 20:06:59

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1450 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1400 và 50|| Thời gian tách : 2022-04-12 20:07:01

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1400 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1350 và 50|| Thời gian tách : 2022-04-12 20:07:06

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1350 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1300 và 50|| Thời gian tách : 2022-04-12 20:07:16

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1300 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1250 và 50|| Thời gian tách : 2022-04-12 20:07:18

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1250 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1200 và 50|| Thời gian tách : 2022-04-12 20:07:36

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1200 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1150 và 50|| Thời gian tách : 2022-04-12 20:07:38

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1150 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1100 và 50|| Thời gian tách : 2022-04-12 20:07:40

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1100 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1050 và 50|| Thời gian tách : 2022-04-12 20:07:42

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1050 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1000 và 50|| Thời gian tách : 2022-04-12 20:07:44

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1000 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 950 và 50|| Thời gian tách : 2022-04-12 20:07:46

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 950 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 900 và 50|| Thời gian tách : 2022-04-12 20:07:49

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 900 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 850 và 50|| Thời gian tách : 2022-04-12 20:07:51

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 850 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 800 và 50|| Thời gian tách : 2022-04-12 20:07:53

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 800 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 750 và 50|| Thời gian tách : 2022-04-12 20:07:56

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 750 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 700 và 50|| Thời gian tách : 2022-04-12 20:07:59

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 700 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 650 và 50|| Thời gian tách : 2022-04-12 20:08:01

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 650 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 600 và 50|| Thời gian tách : 2022-04-12 20:08:04

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 600 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 550 và 50|| Thời gian tách : 2022-04-12 20:08:06

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 550 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 500 và 50|| Thời gian tách : 2022-04-12 20:08:08

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 450 và 50|| Thời gian tách : 2022-04-12 20:08:11

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 450 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 400 và 50|| Thời gian tách : 2022-04-12 20:08:13

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 400 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 350 và 50|| Thời gian tách : 2022-04-12 20:08:15

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 350 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 300 và 50|| Thời gian tách : 2022-04-12 20:08:17

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 300 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 250 và 50|| Thời gian tách : 2022-04-12 20:08:25

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 250 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 200 và 50|| Thời gian tách : 2022-04-12 20:08:28

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 150 và 50|| Thời gian tách : 2022-04-12 20:08:31

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 150 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 100 và 50|| Thời gian tách : 2022-04-12 20:08:34

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 50 và 50|| Thời gian tách : 2022-04-12 20:08:36

 Name : khangnobet đã tách vật phẩm || Vật phẩm tách: 429 || Số lượng vật phẩm ban đầu 59 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 58 và 1|| Thời gian tách : 2022-04-12 20:16:34

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9900 và 100|| Thời gian tách : 2022-04-12 20:41:00

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9800 và 100|| Thời gian tách : 2022-04-12 20:41:02

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9800 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9700 và 100|| Thời gian tách : 2022-04-12 20:41:04

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9700 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 9592 và 108|| Thời gian tách : 2022-04-12 20:41:06

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9592 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9492 và 100|| Thời gian tách : 2022-04-12 20:41:10

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9492 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9392 và 100|| Thời gian tách : 2022-04-12 20:41:13

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9392 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9292 và 100|| Thời gian tách : 2022-04-12 20:41:15

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9292 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9192 và 100|| Thời gian tách : 2022-04-12 20:41:17

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9192 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 9092 và 100|| Thời gian tách : 2022-04-12 20:41:19

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 9092 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8992 và 100|| Thời gian tách : 2022-04-12 20:41:21

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8992 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8892 và 100|| Thời gian tách : 2022-04-12 20:41:22

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8892 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8792 và 100|| Thời gian tách : 2022-04-12 20:41:40

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8792 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8692 và 100|| Thời gian tách : 2022-04-12 20:42:08

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8692 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8592 và 100|| Thời gian tách : 2022-04-12 20:42:10

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8592 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8492 và 100|| Thời gian tách : 2022-04-12 20:42:12

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8492 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8392 và 100|| Thời gian tách : 2022-04-12 20:42:17

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8392 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8292 và 100|| Thời gian tách : 2022-04-12 20:42:20

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8292 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8192 và 100|| Thời gian tách : 2022-04-12 20:42:24

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8192 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8092 và 100|| Thời gian tách : 2022-04-12 20:42:26

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 8092 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7992 và 100|| Thời gian tách : 2022-04-12 20:42:59

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7992 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7892 và 100|| Thời gian tách : 2022-04-12 20:43:04

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7892 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7792 và 100|| Thời gian tách : 2022-04-12 20:43:08

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7792 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7692 và 100|| Thời gian tách : 2022-04-12 20:43:12

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7692 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7592 và 100|| Thời gian tách : 2022-04-12 20:43:37

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7592 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7492 và 100|| Thời gian tách : 2022-04-12 20:43:41

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7492 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7392 và 100|| Thời gian tách : 2022-04-12 20:43:43

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7392 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7292 và 100|| Thời gian tách : 2022-04-12 20:43:46

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7292 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 7192 và 100|| Thời gian tách : 2022-04-12 20:43:48

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7192 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 7084 và 108|| Thời gian tách : 2022-04-12 20:43:50

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 7084 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6984 và 100|| Thời gian tách : 2022-04-12 20:43:53

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6984 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6884 và 100|| Thời gian tách : 2022-04-12 20:43:55

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6884 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 6776 và 108|| Thời gian tách : 2022-04-12 20:43:57

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6776 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6676 và 100|| Thời gian tách : 2022-04-12 20:43:59

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6676 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6576 và 100|| Thời gian tách : 2022-04-12 20:44:01

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6576 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6476 và 100|| Thời gian tách : 2022-04-12 20:44:06

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6476 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6376 và 100|| Thời gian tách : 2022-04-12 20:44:11

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6376 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6276 và 100|| Thời gian tách : 2022-04-12 20:44:13

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6276 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6176 và 100|| Thời gian tách : 2022-04-12 20:44:15

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6176 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 6076 và 100|| Thời gian tách : 2022-04-12 20:44:17

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 6076 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 5968 và 108|| Thời gian tách : 2022-04-12 20:44:20

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5968 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5868 và 100|| Thời gian tách : 2022-04-12 20:44:22

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5868 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5768 và 100|| Thời gian tách : 2022-04-12 20:44:24

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5768 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5668 và 100|| Thời gian tách : 2022-04-12 20:44:26

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5668 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5568 và 100|| Thời gian tách : 2022-04-12 20:44:30

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5568 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5468 và 100|| Thời gian tách : 2022-04-12 20:44:33

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5468 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5368 và 100|| Thời gian tách : 2022-04-12 20:44:36

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5368 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5268 và 100|| Thời gian tách : 2022-04-12 20:44:44

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5268 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5168 và 100|| Thời gian tách : 2022-04-12 20:44:46

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5168 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5068 và 100|| Thời gian tách : 2022-04-12 20:44:48

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5068 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4968 và 100|| Thời gian tách : 2022-04-12 20:44:50

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4968 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4868 và 100|| Thời gian tách : 2022-04-12 20:44:52

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4868 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4768 và 100|| Thời gian tách : 2022-04-12 20:44:54

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4768 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4668 và 100|| Thời gian tách : 2022-04-12 20:44:56

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4668 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4568 và 100|| Thời gian tách : 2022-04-12 20:44:58

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4568 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4468 và 100|| Thời gian tách : 2022-04-12 20:45:00

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4468 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4368 và 100|| Thời gian tách : 2022-04-12 20:45:02

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4368 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4268 và 100|| Thời gian tách : 2022-04-12 20:45:05

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4268 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4168 và 100|| Thời gian tách : 2022-04-12 20:45:07

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4168 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 4068 và 100|| Thời gian tách : 2022-04-12 20:45:09

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4068 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3968 và 100|| Thời gian tách : 2022-04-12 20:45:11

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3968 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3868 và 100|| Thời gian tách : 2022-04-12 20:45:13

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3868 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3768 và 100|| Thời gian tách : 2022-04-12 20:45:15

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3768 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 3660 và 108|| Thời gian tách : 2022-04-12 20:45:17

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3660 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3560 và 100|| Thời gian tách : 2022-04-12 20:45:20

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3560 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3460 và 100|| Thời gian tách : 2022-04-12 20:45:22

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3460 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3360 và 100|| Thời gian tách : 2022-04-12 20:45:24

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3360 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3260 và 100|| Thời gian tách : 2022-04-12 20:45:26

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3260 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 3152 và 108|| Thời gian tách : 2022-04-12 20:45:28

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3152 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3052 và 100|| Thời gian tách : 2022-04-12 20:45:30

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3052 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2952 và 100|| Thời gian tách : 2022-04-12 20:45:36

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2952 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2852 và 100|| Thời gian tách : 2022-04-12 20:45:39

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2852 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2752 và 100|| Thời gian tách : 2022-04-12 20:45:41

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2752 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 2644 và 108|| Thời gian tách : 2022-04-12 20:45:43

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2644 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2544 và 100|| Thời gian tách : 2022-04-12 20:45:46

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2544 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 2436 và 108|| Thời gian tách : 2022-04-12 20:45:48

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2436 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 2328 và 108|| Thời gian tách : 2022-04-12 20:45:50

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2328 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2228 và 100|| Thời gian tách : 2022-04-12 20:45:52

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2228 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 2120 và 108|| Thời gian tách : 2022-04-12 20:45:54

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2120 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2020 và 100|| Thời gian tách : 2022-04-12 20:45:56

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2020 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 1912 và 108|| Thời gian tách : 2022-04-12 20:45:59

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1912 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1812 và 100|| Thời gian tách : 2022-04-12 20:46:02

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1812 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 1704 và 108|| Thời gian tách : 2022-04-12 20:46:04

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1704 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1604 và 100|| Thời gian tách : 2022-04-12 20:46:06

